Question,,,,,,,,,,,,,,,Options,,,,,,,,,,,,,,,,,,,,,Answer
" According to Newton's first law of motion, an object at rest tends to stay at rest unless acted upon by a:",,,,,,,,,,,,,,,"Magnetic force,Gravitational force, Resultant force, Frictional force",,,,,,,,,,,,,,,,,,,,,Frictional force
Newton's second law of motion states that the force acting on an object is equal to the:,,,,,,,,,,,,,,,"Product of its mass and velocity, Product of its mass and acceleration, Product of its velocity and acceleration, Inverse of its mass",,,,,,,,,,,,,,,,,,,,,Product of its mass and acceleration
Which of the following equations represents Newton's second law of motion?,,,,,,,,,,,,,,,"F = m/a , F= a/m , F=ma , F=mt",,,,,,,,,,,,,,,,,,,,,F = ma
"According to Newton's third law of motion, for every action, there is an equal and opposite:",,,,,,,,,,,,,,,"Acceleration,Reaction,Velocity,Force",,,,,,,,,,,,,,,,,,,,,Reaction
A 5 kg block is sliding on a frictionless surface with an acceleration of 2 m/s^2 due to an applied force. What is the magnitude of the force applied?,,,,,,,,,,tude of the force aplied?,,,,,"10 N, 7 N, 2.5 N, 3N",,,,,,,,,,,,,,,,,,,,,10 N
An object of mass 10 kg is subjected to a net force of 20 N. What is its acceleration?,,,,,,,,,,,,,,,"2 m/s^2 , 0.5 m/s^2, 20 m/s^2, 200 m/s^2",,,,,,,,,,,,,,,,,,,,, 2 m/s^2
"Which of the following equations represents displacement s  as a function of initial velocity u, acceleration a, and time t",,,,,,,,,,,,,,,"s = ut+ at^2 , s= 1/2 ut^2 + at, s=ut + 1/2 at^2, s = ut +1/2 at",,,,,,,,,,,,,,,,,,,,, s = ut +{1}/{2}at^2
An object is initially at rest and accelerates uniformly at 4 m/s^2 for 5 s. What is its final velocity?,,,,,,,,,,,,,,,"25 m/s, 20 m/s, 10 m/s, 5 m/s",,,,,,,,,,,,,,,,,,,,, 20 m/s
"Which of the following equations represents final velocity v as a function of initial velocity u, acceleration a, and displacement s?",,,,,,,,,,,,,,,"v^2 = u^2 + 2as ,v = u + at ,v = {u + v}/{2},( v = {s}/{t}",,,,,,,,,,,,,,,,,,,,,v^2 = u^2 + 2as
Which law of motion states that an object will remain at rest or in uniform motion unless acted upon by an external force?,,,,,,,,,,,,,,,"Newton's First Law, Newton's Second Law, Newton's Third Law, Law of Gravitation",,,,,,,,,,,,,,,,,,,,,Newton's First Law
The acceleration produced by a net force on an object is:,,,,,,,,,,,,,,," Directly proportional to the magnitude of the net force, Inversely proportional to the mass of the object, Inversely proportional to the magnitude of the net force, Directly proportional to the mass of the object",,,,,,,,,,,,,,,,,,,,,Directly proportional to the magnitude of the net force
"According to Newton's third law of motion, if object A exerts a force on object B, the reaction force is exerted by object:",,,,,,,,,,,,,,,"A, B, Both A and B, Neither A nor B",,,,,,,,,,,,,,,,,,,,, B
 What is the SI unit of force?,,,,,,,,,,,,,,,"Newton, Kilogram, Joule, Watt",,,,,,,,,,,,,,,,,,,,,Newton
Which of the following situations best illustrates Newton's third law of motion?,,,,,,,,,,,,,,,"A cyclist pedaling a bicycle, A rocket launching into space, A car accelerating on a highway, A person pushing against a wall",,,,,,,,,,,,,,,,,,,,,A person pushing against a wall
What does the slope of a velocity-time graph represent?,,,,,,,,,,,,,,,"Acceleration, Displacement, Change in velocity, Speed",,,,,,,,,,,,,,,,,,,,,Acceleration
"Which kinematic equation relates final velocity v, initial velocity u, acceleration a, and time t?",,,,,,,,,,,,,,," v = u + at, v^2 = u^2 + 2as, s = ut + {1}/{2}at^2, s = {1}/{2}(u + v)t",,,,,,,,,,,,,,,,,,,,,v = u + at
"An object is thrown vertically upwards. At the highest point, its velocity is:",,,,,,,,,,,,,,,"Maximum, Zero, Minimum, Constant",,,,,,,,,,,,,,,,,,,,,Zero
"If an object moves with a constant acceleration, its velocity-time graph will be a:",,,,,,,,,,,,,,," Straight line, Parabola, Curve, Zigzag line",,,,,,,,,,,,,,,,,,,,,Straight line
 The area under the velocity-time graph represents:,,,,,,,,,,,,,,,"Displacement, Distance, Speed, Acceleration",,,,,,,,,,,,,,,,,,,,,Displacement
"When a force is applied to an object causing it to move, what is the force called?",,,,,,,,,,,,,,,"Net force, Acceleration force, Applied force, Inertial force",,,,,,,,,,,,,,,,,,,,,Applied force
"According to Newton's second law, what is the formula for calculating force F?",,,,,,,,,,,,,,,"F = ma, F = {m}/{a}, F = {a}/{m}\),F = m + a",,,,,,,,,,,,,,,,,,,,,F = ma
In which scenario does Newton's third law apply?,,,,,,,,,,,,,,," A bird flying in the sky, A car accelerating on a straight road, A person jumping off a diving board, A person pushing a heavy box",,,,,,,,,,,,,,,,,,,,,A person pushing a heavy box
What happens to an object when the net force acting on it is zero?,,,,,,,,,,,,,,," It accelerates, It decelerates, It moves with constant velocity, It remains at rest",,,,,,,,,,,,,,,,,,,,,It moves with constant velocity
"According to Newton's first law, what is the tendency of an object at rest?",,,,,,,,,,,,,,,"To remain at rest, To accelerate, To decelerate, To move in a circular path",,,,,,,,,,,,,,,,,,,,,To remain at rest
 What is the formula for calculating average velocity v_{avg}?,,,,,,,,,,,,,,," v_{avg} = {s}/{t}, v_{avg} = s*t, v_{avg} = {t}/{s}, v_{avg} = {s}/{t^2}",,,,,,,,,,,,,,,,,,,,,v_{avg} = {s}/{t}
What does the area under a velocity-time graph represent?,,,,,,,,,,,,,,,"Acceleration, Displacement, Time, Speed",,,,,,,,,,,,,,,,,,,,,Displacement
Which kinematic equation can be used to calculate final velocity v?,,,,,,,,,,,,,,,"v = u + at, v = u *a*t, v = {u}/{t} + at, v = u + at^2",,,,,,,,,,,,,,,,,,,,,v = u + at
"If an object moves with a constant velocity, what can be said about its acceleration?",,,,,,,,,,,,,,,"It is zero, It is constant, It is changing, It is negative",,,,,,,,,,,,,,,,,,,,,It is zero
What is the SI unit of acceleration?,,,,,,,,,,,,,,,"Meters per second (m/s), Meters per second squared (m/s²), Meters (m), Meters squared per second (m²/s)",,,,,,,,,,,,,,,,,,,,,Meters per second squared (m/s²)
What is the condition for an object to be in equilibrium?,,,,,,,,,,,,,,," It must be at rest, The net force acting on it must be zero, It must have constant velocity, It must have a mass of zero",,,,,,,,,,,,,,,,,,,,,The net force acting on it must be zero
